"peer_type","peer_id","title","is_group","is_channel","is_user","unread_count"
"chat","5068474479","×§×‘×•×¦×” ×œ×‘×“×™×§×•×ھ","True","False","False","0"
"user","406745800","×‘× ×™","False","False","True","0"
"user","8549898698","×‘×¨×•×ڑ","False","False","True","1"
"user","8443986883","ذ؛ر€ذ°ذ؛ذµذ½","False","False","True","0"
"channel","3101043423","SLH.EchoSystem.israel","False","True","False","0"
"user","7579422877","Testgiver TON Bot (testnet faucet)","False","False","True","0"
"user","6390700666","×“×‍×™×ک×¨×™","False","False","True","0"
"user","1939694457","Robotrik","False","False","True","0"
"user","8582475174","×—×™×™×‘\n×œ×™\n×›×،×£","False","False","True","1"
"channel","3215303764","0","False","True","False","0"
"user","8080272057","×¢×™×“×ں ×¢×œ","False","False","True","1"
"user","8340027057","×“×§×œ×”","False","False","True","1"
"user","503342253","×گ×•×¨×™×گ×œ","False","False","True","0"
"user","8494062685","Diana","False","False","True","0"
"user","8275538195","×‍×™×¨×™","False","False","True","1"
"channel","1617334141","CRYPTO GEM FINDER","False","True","False","7"
"user","7607541734","Ava","False","False","True","1"
"user","8401056057","×¨×¤×ھ","False","False","True","1"
"channel","1529835062","×‘×“×™×§×•×ھ ×،×•×¤×™×•×ھ","True","True","False","0"
"channel","1699922921","×ھ×©×œ×•×‍×™×‌","True","True","False","0"
"user","8228124493","×،×¨×™","False","False","True","1"
"channel","3085498534","×،×œ×” ×œ×œ×گ ×’×‘×•×œ×•×ھ","False","True","False","0"
"channel","1556954998","×—×‘×¨×™ ×¤×¨×™×‍×™×•×‌ TON ×•×،×œ×”","True","True","False","0"
"user","224223270","Osif","False","False","True","0"
"user","8400109563","(no title)","False","False","True","0"
"channel","1696741593","NIFTI","True","True","False","0"
"channel","1727607197","PLAYER NO 1","True","True","False","0"
"channel","1660760786","×‘×“×™×§×•×ھ 3","True","True","False","0"
"user","6148615900","× ×“×‘","False","False","True","0"
"channel","1680301693","×‍×•× ×™×ک×•×¨","True","True","False","0"
"user","7940057720","×™×”×‘","False","False","True","0"
"user","6415126385","×©×œ×•×‍×™×ھ","False","False","True","0"
"user","119513866","YourBot","False","False","True","0"
"user","8398873352","(no title)","False","False","True","0"
"user","8435922575","(no title)","False","False","True","0"
"user","7323795437","×‍×گ'×¢×‍×–","False","False","True","0"
"user","5021103423","Richard","False","False","True","0"
"chat","977460917","×—× ×•×ھ SLH - ×–×™×¨×ھ ×‍×،×—×¨ ×گ×–×•×¨ ×”×©×¨×•×ں","True","False","False","0"
